,img_id,label,sublabel,size,height,width,path,split
0,3295,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev03295.jpg,train
1,4630,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev04630.jpg,train
2,4174,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev04174.jpg,train
3,3911,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev03911.jpg,train
4,1315,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev01315.jpg,train
5,5025,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev05025.jpg,train
6,5851,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/train/nevus/nev05851.jpg,train
7,787,nevus,nev,"(685, 1024, 3)",685,1024,../data/binary/train/nevus/nev00787.jpg,train
8,5770,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev05770.jpg,train
9,75,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev00075.jpg,train
10,3991,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev03991.jpg,train
11,4863,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev04863.jpg,train
12,6227,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev06227.jpg,train
13,4040,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev04040.jpg,train
14,6059,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev06059.jpg,train
15,1040,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev01040.jpg,train
16,735,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/train/nevus/nev00735.jpg,train
17,3557,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/train/nevus/nev03557.jpg,train
18,1839,nevus,nev,"(680, 1024, 3)",680,1024,../data/binary/train/nevus/nev01839.jpg,train
19,7703,nevus,nev,"(680, 1024, 3)",680,1024,../data/binary/train/nevus/nev07703.jpg,train
20,25,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/train/nevus/nev00025.jpg,train
21,6591,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev06591.jpg,train
22,4966,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev04966.jpg,train
23,5895,nevus,nev,"(722, 962, 3)",722,962,../data/binary/train/nevus/nev05895.jpg,train
24,2465,nevus,nev,"(680, 1024, 3)",680,1024,../data/binary/train/nevus/nev02465.jpg,train
25,3950,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev03950.jpg,train
26,5545,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev05545.jpg,train
27,7312,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/train/nevus/nev07312.jpg,train
28,1163,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev01163.jpg,train
29,2198,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/train/nevus/nev02198.jpg,train
30,7658,nevus,nev,"(450, 600, 3)",450,600,../data/binary/train/nevus/nev07658.jpg,train
