,img_id,label,sublabel,size,height,width,path,split
0,1758,bcc,bcc,"(450, 600, 3)",450,600,../data/three_class/train/bcc/bcc01758.jpg,train
1,782,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00782.jpg,train
2,542,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00542.jpg,train
3,1876,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01876.jpg,train
4,729,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00729.jpg,train
5,1581,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01581.jpg,train
6,1250,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01250.jpg,train
7,1321,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01321.jpg,train
8,612,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00612.jpg,train
9,1931,bcc,bcc,"(450, 600, 3)",450,600,../data/three_class/train/bcc/bcc01931.jpg,train
10,1184,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01184.jpg,train
11,317,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00317.jpg,train
12,1028,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01028.jpg,train
13,19,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00019.jpg,train
14,563,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00563.jpg,train
15,65,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00065.jpg,train
16,1570,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01570.jpg,train
17,1095,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01095.jpg,train
18,1879,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01879.jpg,train
19,277,bcc,bcc,"(450, 600, 3)",450,600,../data/three_class/train/bcc/bcc00277.jpg,train
20,935,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00935.jpg,train
21,1445,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01445.jpg,train
22,74,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00074.jpg,train
23,707,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00707.jpg,train
24,1489,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01489.jpg,train
25,1500,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01500.jpg,train
26,993,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00993.jpg,train
27,266,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00266.jpg,train
28,1134,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01134.jpg,train
29,1671,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01671.jpg,train
30,1412,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01412.jpg,train
31,1904,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01904.jpg,train
32,851,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00851.jpg,train
33,818,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00818.jpg,train
34,1528,bcc,bcc,"(450, 600, 3)",450,600,../data/three_class/train/bcc/bcc01528.jpg,train
35,1078,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01078.jpg,train
36,549,bcc,bcc,"(450, 600, 3)",450,600,../data/three_class/train/bcc/bcc00549.jpg,train
37,42,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00042.jpg,train
38,1149,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01149.jpg,train
39,1668,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01668.jpg,train
40,601,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00601.jpg,train
41,1804,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01804.jpg,train
42,468,bcc,bcc,"(450, 600, 3)",450,600,../data/three_class/train/bcc/bcc00468.jpg,train
43,38,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00038.jpg,train
44,528,bcc,bcc,"(450, 600, 3)",450,600,../data/three_class/train/bcc/bcc00528.jpg,train
45,1865,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01865.jpg,train
46,1305,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01305.jpg,train
47,25,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00025.jpg,train
48,136,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00136.jpg,train
49,1132,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01132.jpg,train
50,207,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00207.jpg,train
51,268,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00268.jpg,train
52,1794,bcc,bcc,"(450, 600, 3)",450,600,../data/three_class/train/bcc/bcc01794.jpg,train
