,img_id,label,sublabel,size,height,width,path,split
0,1758,bcc,bcc,"(450, 600, 3)",450,600,../data/three_class/train/bcc/bcc01758.jpg,val
1,782,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00782.jpg,val
2,542,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00542.jpg,val
3,1876,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01876.jpg,val
4,729,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00729.jpg,val
5,1581,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01581.jpg,val
6,1250,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01250.jpg,val
7,1321,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01321.jpg,val
8,612,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00612.jpg,val
9,1931,bcc,bcc,"(450, 600, 3)",450,600,../data/three_class/train/bcc/bcc01931.jpg,val
10,1184,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01184.jpg,val
11,317,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00317.jpg,val
12,1028,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01028.jpg,val
13,19,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00019.jpg,val
14,563,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00563.jpg,val
15,65,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00065.jpg,val
16,1570,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01570.jpg,val
17,1095,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01095.jpg,val
18,1879,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01879.jpg,val
19,277,bcc,bcc,"(450, 600, 3)",450,600,../data/three_class/train/bcc/bcc00277.jpg,val
20,935,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00935.jpg,val
21,1445,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01445.jpg,val
22,74,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00074.jpg,val
23,707,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00707.jpg,val
24,1489,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01489.jpg,val
25,1500,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01500.jpg,val
26,993,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00993.jpg,val
27,266,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00266.jpg,val
28,1134,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01134.jpg,val
29,1671,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01671.jpg,val
30,1412,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01412.jpg,val
31,1904,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01904.jpg,val
32,851,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00851.jpg,val
33,818,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00818.jpg,val
34,1528,bcc,bcc,"(450, 600, 3)",450,600,../data/three_class/train/bcc/bcc01528.jpg,val
35,1078,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01078.jpg,val
36,549,bcc,bcc,"(450, 600, 3)",450,600,../data/three_class/train/bcc/bcc00549.jpg,val
37,42,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00042.jpg,val
38,1149,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01149.jpg,val
39,1668,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01668.jpg,val
40,601,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc00601.jpg,val
41,1804,bcc,bcc,"(1024, 1024, 3)",1024,1024,../data/three_class/train/bcc/bcc01804.jpg,val
42,468,bcc,bcc,"(450, 600, 3)",450,600,../data/three_class/train/bcc/bcc00468.jpg,val
